Record ID,Date and Time,NotificationType,Notification Title,Email Body
4923,12/08/2014 12:00:00 PM,Public Awareness,Fireworks - St. John's University Great Lawn - 12/9/14 (QN),"Notification issued 12/8/14 at 12:00 PM. There will be a fireworks display over the St. John's University Great Lawn in Queens tomorrow, 12/9, at approximately 8:35 PM."
4961,12/30/2014 12:00:00 PM,Public Awareness,Fireworks - Prospect Park - 12/31/14 (BK),"Notification issued 12/30/14 at 12:00 PM. There will be a fireworks display tomorrow, 12/31, at midnight, in Prospect Park, Brooklyn for a New Year's Eve celebration."
5032,12/31/2014 01:00:00 PM,Public Awareness,Fireworks - Coney Island - Pier 17th Street on New Years Eve: 12/31/14 - 1/1/15,"Notification issued 12/31/14 at 1:00 PM. There will be a fireworks display at midnight tonight (1/1/15) on the 17th Street Fishing Pier, Coney Island, Brooklyn."
5050,12/01/2014 09:14:00 PM,Missing Adult,Silver Alert - Valentina Livshen F/W/74 (CW),"Silver Alert issued 12/1/14 at 9:14 PM.  NYPD has issued a Silver Alert in regards to the disappearance of Valentina Livshen, a 74-year-old white female with dementia, from the area of Ridge Avenue and 67th Street in Brooklyn.  She is described as being 5'3'' tall and 125lbs with gray hair, blue eyes and only speaks Russian.  Ms.Livshen was last seen 11/30 at 4:00 PM in the area of East 18th Street and Avenue R (BK) wearing a black coat, pink sweater, black pants and white sneakers. If you see Ms.Livshen, please call 9-1-1. A photo of the missing is attached: http://imgur.com/O9BmJjf"
5051,12/02/2014 03:32:00 AM,Missing Adult,Silver Alert - Chong Hi Kim F/A/80 (CW),"Silver Alert issued 12/2/14 at 3:32 AM. NYPD has issued a Silver Alert for the disappearance of Chong Hi Kim, female, Asian, 80 years of age, from Main Street and Blossom Avenue in Queens. Ms. Kim is described as 5'2'' tall and weighing 110 pounds with brown eyes and gray hair. She was last seen at 12:30 PM on Sunday, November 30th at her residence wearing a blue jacket, tan pants and white sneakers. The missing speaks predominately Korean. A photo is available at http://i.imgur.com/9pI6c8U.jpg. If you see Ms. Kim, please call 9-1-1."
5052,12/02/2014 07:55:00 PM,Fire,3 Alarm Fire - Liberty Avenue and 180th Street (QN),Notification issued 12/2/14 at 7:55 PM.  Emergency personnel are on scene of a three alarm fire at Liberty Avenue and 180th Street (QN).  Please expect street closures and traffic in the area.
5053,12/03/2014 02:55:00 AM,Missing Adult,NYS Missing Vulnerable Adult - Henry Finke M/W/84 (CW),"Alert issued 12/3/14 at 2:55 AM.  The New York State Division of Criminal Justice Services has issued a Missing Vulnerable Adult Alert in regards to the disappearance of Henry Finke, an 84-year-old White male with dementia, from Huntington, NY.  He is described as being 5'1'' tall and 200lbs with white hair and blue eyes.  Mr. Finke was last seen at approximately 1:00 PM on 12/2 in Huntington, NY, and was driving a 2007 gray Buick Lucerne with New York registration CVL9022.  He may be traveling to the Hunter Mountain area and may be in need of medical attention.  A photo of the missing is available at http://i.imgur.com/WYa5xCY.jpg.  If you see Mr. Finke, please call the Suffolk County Police Department at 631-854-8200, or call 9-1-1."
5054,12/03/2014 12:55:00 AM,Missing Adult,NYS Missing Vulnerable Adult - Paolo Macri M/W/83 (CW),"Alert issued 12/3/14 at 12:55 AM.  The New York State Division of Criminal Justice Services has issued a Missing Vulnerable Adult Alert in regards to the disappearance of Paolo Macri, an 83-year-old White male with early onset dementia, from Great Neck, NY.  Mr. Macri is described as being 5'8'' tall and 240lbs with gray hair and brown eyes.  He was last seen in Great Neck, NY at approximately 7:30 AM on 12/2 and was driving a 2014 gray Jeep Cherokee with NY registration CER8457.  He may be in need of medical attention. A photo of the missing is available at http://i.imgur.com/mzaMHek.jpg.  If you see Mr. Macri, please call the Nassau County Police Department 3rd Precinct at 516-573-7347, or call 9-1-1."
5055,12/03/2014 08:00:00 AM,Environmental,CSO Advisory (CW),"This file written at 12/03/2014 7:15 AM
Rainfall at three NOAA rain gauges over the past 24 hours in inches:
JFK Airport: 0.11
LaGuardia Airport: 0.12
Central Park: 0.09
List of Advisories
BERGEN BASIN: CSO Advisory until 12/03/2014 3:00 PM
NEWTOWN CREEK: CSO Advisory until 12/03/2014 3:00 PM
THURSTON BASIN: CSO Advisory until 12/03/2014 3:00 PM
Current CSO advisories: 3
A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=gOnj4OQI2d4."
5056,12/03/2014 05:40:00 PM,Public Awareness,Protest Activity in Times Square and Rockefeller Center (MN),"Notification issued 12/3/14 at 7:40 PM. Due to protest activity, expect an increased presence of emergency personnel and sporadic traffic delays in the vicinity of Times Square and Rockerfeller Center, Manhattan."
