INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
4239 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030270035,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/01/2015,1012160,248392
21 FLATBUSH AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021060024,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2015,989708,189943
1313 PROSPECT AVENUE,BRONX,03 BRONX,Precinct 42,17,2026810029,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1012451,241021
90-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,24,4096770016,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,1037388,195398
48-19 25 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4007460001,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,1010542,217953
771 TINTON AVENUE,BRONX,01 BRONX,Precinct 40,17,2026550030,12/05/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/17/2015,1010603,237543
46-01 20 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4007740001,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2015,1012512,221228
4909 CLARENDON ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047600038,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,1003566,174054
478 40 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140039,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,982824,176485
6750 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058550049,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,978537,170458
2531 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036650024,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2015,1011708,185436
1351 PROSPECT AVENUE,BRONX,03 BRONX,Precinct 42,17,2029680017,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1012661,241689
2701 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074430026,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,1000208,153969
171 29 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006650001,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,984294,178980
452 AUTUMN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710023,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/16/2015,1020585,186546
1114 CYPRESS AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4035560056,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,1012100,192846
1111 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2027510041,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1014562,240017
55 MONITOR STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028280009,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1000359,202014
4909 UTICA AVE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/09/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,03/25/2015,,
656 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058020028,12/15/2014,Open,Site downloaded for cleaning,,980380,171089
2910 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041630015,12/15/2014,Open,Site downloaded for cleaning,,1030410,247661
430 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,,12/31/2014,Open,Property Research Required,,993078,156972
15 DIVISION PLACE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028400021,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,1000847,201715
226 VARICK STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005280056,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,982800,204921
4725 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030320042,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,1014122,252543
103-01 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4021380001,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2015,1025733,203438
35 DOBBIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026420024,12/03/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/20/2015,997080,202907
57 EAST TREMONT AVENUE,BRONX,05 BRONX,Precinct 46,14,2028290026,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2015,1009640,249412
2984 WEBSTER AVENUE,BRONX,07 BRONX,Precinct 52,11,2032740021,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/18/2015,1016741,255506
2083 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021100060,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2015,1001039,244062
40 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004940015,12/01/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/28/2015,985538,202761
320 WEST  145 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,09,1020517501,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,1000007,239236
2359 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039700005,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1026569,244068
453 BAY RIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058640062,12/25/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,978087,170270
3033 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087010001,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2015,995382,151277
396 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009930039,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,988384,183608
365 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024370025,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,997159,197384
388 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3037040020,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1013196,185040
145 BRIGHTON   10 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087070056,12/24/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/20/2015,995700,150602
38 BARROW STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005880032,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,983077,206011
34-48 89 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014490029,12/21/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2015,1017969,213674
3704 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046640050,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1021892,260509
