POLICE_PRECINCT,CREATED_DATE
Precinct 48,12/10/2014
Precinct 88,12/11/2014
Precinct 42,12/02/2014
Precinct 103,12/15/2014
Precinct 114,12/15/2014
Precinct 40,12/05/2014
Precinct 114,12/17/2014
Precinct 67,12/09/2014
Precinct 72,12/11/2014
Precinct 68,12/12/2014
Precinct 75,12/09/2014
Precinct 42,12/16/2014
Precinct 61,12/05/2014
Precinct 72,12/10/2014
Precinct 75,12/19/2014
Precinct 104,12/28/2014
Precinct 41,12/04/2014
Precinct 94,12/16/2014
Unspecified,12/09/2014
Precinct 72,12/15/2014
Precinct 45,12/15/2014
Precinct 61,12/31/2014
Precinct 94,12/03/2014
Precinct 6,12/08/2014
Precinct 48,12/10/2014
Precinct 112,12/15/2014
Precinct 94,12/03/2014
Precinct 46,12/05/2014
Precinct 52,12/10/2014
Precinct 33,12/19/2014
Precinct 5,12/01/2014
Precinct 30,12/24/2014
Precinct 45,12/20/2014
Precinct 68,12/25/2014
Precinct 60,12/31/2014
Precinct 78,12/15/2014
Precinct 90,12/29/2014
Precinct 75,12/09/2014
Precinct 60,12/24/2014
Precinct 6,12/04/2014
Precinct 115,12/21/2014
Precinct 47,12/10/2014
Precinct 45,12/15/2014
Precinct 40,12/16/2014
Precinct 72,12/04/2014
Precinct 73,12/24/2014
Precinct 68,12/24/2014
Precinct 34,12/02/2014
Precinct 78,12/15/2014
Precinct 94,12/03/2014
Precinct 52,12/16/2014
Precinct 88,12/10/2014
Precinct 43,12/31/2014
Precinct 110,12/29/2014
Precinct 62,12/01/2014
Precinct 70,12/16/2014
Precinct 70,12/16/2014
Precinct 77,12/10/2014
Precinct 78,12/10/2014
Precinct 72,12/11/2014
Precinct 66,12/08/2014
Precinct 70,12/15/2014
Precinct 72,12/11/2014
Precinct 49,12/17/2014
Precinct 45,12/15/2014
Precinct 28,12/02/2014
Precinct 52,12/18/2014
Unspecified,12/20/2014
Precinct 75,12/04/2014
Precinct 84,12/08/2014
Precinct 1,12/03/2014
Precinct 84,12/02/2014
Precinct 90,12/03/2014
Precinct 61,12/29/2014
Precinct 88,12/18/2014
Precinct 75,12/10/2014
Precinct 76,12/26/2014
Precinct 105,12/15/2014
Precinct 52,12/10/2014
Precinct 107,12/29/2014
Precinct 68,12/07/2014
Precinct 30,12/18/2014
Precinct 45,12/20/2014
Precinct 110,12/28/2014
Precinct 47,12/11/2014
Precinct 49,12/10/2014
Precinct 75,12/11/2014
Precinct 78,12/15/2014
Precinct 72,12/31/2014
Unspecified,12/29/2014
Precinct 45,12/03/2014
Precinct 94,12/03/2014
Precinct 5,12/15/2014
Precinct 34,12/02/2014
Precinct 5,11/30/2014
Precinct 66,12/10/2014
Precinct 105,12/15/2014
Precinct 79,12/09/2014
Precinct 108,12/10/2014
Precinct 110,12/27/2014
Precinct 40,12/16/2014
